OnesCount,CorrelatedPairs,Qubits,delta,Run
32,41,70,-4,298
24,15,45,0,299
48,46,100,-3,300
16,13,30,0,301
24,22,50,-2,302
64,67,130,-3,303
72,57,120,9,304
32,18,60,0,305
48,45,85,5,306
24,18,55,-4,307
80,58,155,-1,308
64,68,140,-7,309
40,38,85,-4,310
56,44,105,2,311
64,61,130,-4,312
48,38,85,3,313
96,94,190,-2,314
64,58,145,-10,315
48,47,100,-2,316
40,32,75,0,317
40,30,85,-4,318
40,36,75,1,319
48,43,95,-1,320
88,86,170,0,321
56,64,125,-8,322
88,77,180,-5,323
32,33,65,-2,324
72,66,150,-5,325
56,61,120,-6,326
56,54,105,1,327
104,100,190,6,328
24,31,55,-4,329
8,9,15,0,330
64,54,125,0,331
64,47,125,-1,332
72,77,155,-8,333
72,68,150,-5,334
64,66,140,-8,335
40,44,85,-4,336
32,29,60,1,337
64,56,135,-6,338
72,78,160,-10,339
8,7,10,3,340
32,29,55,4,341
80,83,175,-10,342
40,38,80,-1,343
48,49,105,-6,344
56,60,115,-2,345
48,37,90,1,346
48,40,95,-2,347
56,53,130,-10,348
56,45,115,-4,349
40,36,90,-6,350
32,35,70,-4,351
40,32,75,1,352
16,12,30,0,353
80,66,165,-6,354
40,35,85,-4,355
64,57,125,-1,356
32,38,75,-6,357
32,24,60,1,358
48,50,100,-4,359
40,30,75,1,360
40,42,80,-2,361
64,70,140,-7,362
64,59,130,-3,363
64,55,120,1,364
64,75,140,-8,365
56,57,105,3,366
40,43,90,-6,367
64,56,130,-4,368
72,67,140,0,369
48,53,105,-6,370
56,53,120,-5,371
48,42,100,-4,372
48,48,105,-5,373
56,49,100,4,374
104,99,210,-4,375
72,68,150,-5,376
48,43,90,1,377
64,59,125,-1,378
32,30,70,-4,379
40,39,85,-4,380
72,73,150,-6,381
48,43,90,2,382
32,25,55,3,383
72,67,140,0,384
88,78,180,-6,385
40,40,70,3,386
72,71,145,-4,387
32,32,65,-2,388
72,61,140,0,389
40,31,70,4,390
56,54,115,-3,391
56,49,105,1,392
40,35,80,-1,393
72,72,155,-8,394
64,65,130,-3,395
72,70,145,-2,396
64,58,130,-4,397
48,58,110,-8,398
80,83,170,-8,399
64,54,135,-6,400
48,35,95,-1,401
48,54,105,-6,402
56,45,115,-4,403
120,127,260,-13,404
64,52,125,-1,405
40,38,80,-1,406
56,52,115,-4,407
48,49,100,-4,408
80,60,160,-3,409
32,29,65,-2,410
48,43,95,-2,411
48,35,85,3,412
56,58,125,-8,413
16,17,30,0,414
72,74,140,0,415
40,33,70,4,416
56,58,120,-5,417
32,27,70,-4,418
56,54,125,-8,419
40,42,85,-3,420
40,40,80,-2,421
40,45,95,-8,422
56,53,105,1,423
32,35,80,-8,424
32,29,65,-2,425
40,38,85,-3,426
72,62,140,0,427
40,43,85,-4,428
56,46,115,-4,429
64,44,115,3,430
80,75,160,-2,431
120,108,245,-7,432
56,63,125,-8,433
56,44,90,9,434
48,49,90,1,435
56,48,110,-1,436
48,50,90,2,437
56,55,105,1,438
64,62,130,-3,439
40,46,80,-1,440
64,54,120,1,441
48,44,100,-4,442
56,63,125,-8,443
64,62,130,-4,444
32,34,65,-1,445
48,52,105,-5,446
64,61,135,-5,447
72,71,135,3,448
64,56,135,-6,449
48,42,95,-2,450
8,13,20,-2,451
48,40,100,-4,452
104,106,220,-9,453
32,29,60,1,454
96,96,185,0,455
40,47,80,-1,456
104,92,200,1,457
56,44,105,1,458
48,47,100,-3,459
48,37,90,1,460
64,55,125,-2,461
24,35,60,-6,462
32,25,60,0,463
64,66,140,-8,464
32,35,65,-1,465
48,47,105,-6,466
72,81,145,-3,467
72,74,145,-2,468
40,35,90,-6,469
72,65,145,-3,470
72,68,150,-6,471
48,34,90,1,472
40,29,80,-1,473
64,56,130,-3,474
56,42,115,-4,475
80,74,155,0,476
56,54,110,-2,477
56,41,115,-4,478
48,39,70,12,479
48,37,90,1,480
72,71,140,-1,481
32,28,65,-2,482
56,39,110,-1,483
48,46,100,-4,484
48,44,90,1,485
64,53,135,-6,486
16,21,40,-4,487
40,35,85,-4,488
32,27,55,3,489
40,37,80,-2,490
64,65,130,-2,491
48,62,115,-10,492
64,58,120,2,493
64,58,125,0,494
80,95,175,-10,495
32,28,65,-2,496
56,54,110,-2,497
48,39,90,1,498
32,31,70,-4,499
40,28,75,1,500
80,82,155,0,501
72,59,130,4,502
48,41,100,-4,503
24,17,50,-2,504
32,30,70,-4,505
32,34,65,-1,506
56,53,105,1,507
64,65,130,-2,508
24,26,50,-2,509
56,45,115,-4,510
48,50,105,-5,511
32,34,75,-6,512
48,44,100,-3,513
32,29,65,-2,514
72,79,160,-9,515
56,66,120,-5,516
64,58,135,-5,517
48,41,90,2,518
64,53,130,-4,519
24,28,50,-2,520
56,59,115,-3,521
32,33,65,-2,522
32,25,55,3,523
48,45,95,-2,524
120,110,250,-10,525
40,45,85,-4,526
40,29,75,1,527
24,17,50,-2,528
64,57,125,0,529
64,49,115,4,530
64,57,125,-1,531
56,44,100,3,532
72,68,135,3,533
40,30,80,-2,534
88,74,175,-3,535
40,39,80,0,536
72,73,165,-12,537
48,47,100,-4,538
80,61,135,10,539
32,26,60,0,540
64,58,125,0,541
16,13,30,0,542
32,30,65,-1,543
56,52,130,-10,544
72,69,145,-3,545
64,53,125,-1,546
40,42,95,-8,547
32,23,65,-2,548
32,32,70,-4,549
32,28,65,-1,550
56,48,100,4,551
56,58,115,-3,552
40,37,75,1,553
88,103,180,-3,554
64,69,130,-3,555
64,49,120,2,556
24,13,45,0,557
56,48,120,-6,558
48,40,95,-2,559
48,50,95,-1,560
40,39,85,-4,561
32,35,70,-4,562
32,31,65,-1,563
64,76,140,-8,564
48,38,85,3,565
56,56,120,-6,566
48,49,95,-1,567
56,56,125,-8,568
48,47,90,1,569
64,60,125,-2,570
72,59,135,3,571
56,42,115,-4,572
40,28,80,-2,573
64,50,125,-2,574
40,36,80,-1,575
56,52,110,-1,576
24,26,50,-2,577
72,68,155,-8,578
64,65,130,-3,579
48,49,105,-5,580
64,51,125,0,581
80,80,170,-7,582
56,45,120,-5,583
48,45,90,1,584
40,32,70,3,585
48,43,100,-3,586
48,43,100,-4,587
32,31,55,3,588
56,44,105,2,589
72,60,150,-6,590
32,24,50,6,591
40,36,75,1,592
56,51,95,6,593
24,28,50,-2,594
48,46,95,-1,595
40,35,85,-4,596
48,48,95,-1,597
56,56,115,-3,598
48,37,90,1,599
