OnesCount,CorrelatedPairs,Qubits,delta,Run
63,67,125,2,314
49,47,100,0,315
42,39,80,4,316
28,20,45,6,317
35,28,70,2,318
42,43,75,5,319
35,28,65,4,320
21,15,40,2,321
42,44,85,2,322
35,41,75,-1,323
56,37,100,8,324
77,72,160,0,325
56,53,110,3,326
35,37,70,1,327
35,28,70,1,328
42,37,85,2,329
63,62,135,-1,330
63,61,130,0,331
63,59,120,5,332
35,31,65,4,333
42,40,80,4,334
49,49,105,-1,335
42,53,95,-3,336
56,49,110,3,337
35,30,70,2,338
49,37,90,6,339
21,23,45,0,340
28,30,55,1,341
56,55,115,1,342
28,24,55,2,343
42,41,95,-4,344
49,43,90,6,345
63,61,120,6,346
14,10,25,2,347
42,40,85,2,348
42,32,80,4,349
28,33,60,-1,350
70,58,135,6,351
63,49,105,12,352
77,72,160,0,353
42,39,90,0,354
63,54,125,3,355
42,38,75,6,356
56,42,95,10,357
63,55,115,8,358
21,17,40,2,359
42,36,85,2,360
42,44,85,2,361
14,12,30,0,362
42,31,75,6,363
21,16,35,4,364
42,40,85,1,365
42,31,75,6,367
56,55,105,6,368
35,20,70,2,369
42,43,100,-6,370
42,37,85,2,371
21,23,45,0,372
42,37,85,1,373
42,31,85,1,374
56,58,115,1,375
42,37,80,4,376
42,33,80,4,377
35,30,65,4,378
49,46,105,0,379
21,16,40,2,380
35,33,70,2,381
42,42,80,4,382
49,49,85,8,383
84,64,155,9,384
56,57,110,3,385
35,38,85,-6,386
42,38,85,2,387
35,30,60,6,388
63,45,120,6,389
42,41,80,3,390
49,34,100,2,391
28,30,60,0,392
42,38,80,3,393
70,69,150,-2,394
56,48,100,8,395
49,38,90,6,396
35,35,70,2,397
49,44,95,3,398
28,25,50,4,399
35,43,85,-7,400
42,41,85,2,401
49,53,95,4,402
42,30,80,3,403
35,31,70,1,404
28,30,55,2,405
49,44,95,4,406
49,42,95,3,407
84,76,165,4,408
28,21,50,4,409
21,16,40,2,410
56,55,120,-1,411
70,76,155,-5,412
35,32,75,-1,413
35,36,70,2,414
42,32,75,6,415
42,32,85,1,416
49,44,95,4,417
28,26,50,4,418
70,61,145,1,419
35,27,60,6,420
35,25,65,4,421
35,24,60,6,422
56,53,120,-2,423
42,38,80,4,424
49,34,90,6,425
21,19,45,-1,426
42,32,75,6,427
35,42,80,-4,428
49,43,110,-3,429
35,33,70,2,430
42,37,85,1,431
35,30,65,4,432
28,35,60,-1,433
56,48,100,8,434
21,21,40,2,435
77,58,130,14,436
35,28,70,2,437
49,48,95,3,438
42,36,80,4,439
21,19,40,2,440
28,19,50,4,441
21,15,40,2,442
35,33,65,4,443
91,88,190,0,444
21,20,45,0,445
21,17,35,4,446
28,19,50,4,447
56,54,110,2,448
63,69,130,0,449
35,24,55,8,450
28,23,50,4,451
70,66,135,5,452
21,22,45,-1,453
49,46,110,-4,454
42,35,85,2,455
49,53,100,1,456
14,7,20,4,457
28,29,55,2,458
28,25,55,1,459
56,52,110,3,460
56,58,110,3,461
28,23,55,1,462
42,43,85,1,463
42,33,85,1,464
56,43,115,2,465
49,49,95,4,466
28,33,60,-1,467
35,33,70,2,468
56,56,115,2,469
35,31,70,2,470
63,53,120,5,471
21,18,50,-3,472
28,17,50,4,473
28,22,60,0,474
7,9,15,0,475
28,19,50,4,476
63,49,115,8,477
14,12,30,-1,478
7,8,15,0,479
56,42,95,10,480
91,81,175,6,481
49,40,90,6,482
35,32,70,2,483
49,47,100,0,484
49,41,105,-1,485
35,32,70,2,486
63,60,120,6,487
35,38,70,1,488
49,37,100,2,489
49,64,115,-6,490
42,34,85,1,491
49,36,100,1,492
35,35,75,-1,493
42,30,80,4,494
42,33,80,4,495
35,33,60,6,496
91,93,185,3,497
7,3,10,2,498
56,47,120,0,499
21,14,40,2,500
7,6,10,2,501
56,50,105,5,502
70,54,125,10,503
49,39,90,6,504
42,42,85,1,505
77,78,160,0,506
28,22,55,2,507
35,28,65,4,508
42,30,90,-1,509
42,35,80,4,510
49,40,85,8,511
42,34,80,4,512
28,28,55,2,513
35,33,65,3,514
7,10,15,0,515
28,26,50,4,516
49,45,100,1,517
49,33,90,6,518
7,8,15,0,519
56,48,105,6,520
42,39,85,1,521
35,32,75,-1,522
49,43,95,3,523
21,31,50,-3,524
21,16,40,2,525
35,27,70,2,526
21,21,40,2,527
35,35,70,1,528
63,52,115,8,529
28,28,55,2,530
21,15,40,2,531
63,60,120,6,532
35,31,65,3,533
98,86,205,-1,534
35,34,70,2,535
70,56,130,8,536
35,30,60,6,537
42,33,85,2,538
42,30,60,12,539
42,35,80,4,540
28,28,60,-1,541
35,34,75,-1,542
21,19,50,-3,543
35,30,70,1,544
