Sum of delta,Phase,Qubits,Spin,CorrelatedPairs,OnesCount
132,0,15,false,9,11
132,0,17,true,7,11
132,0,19,false,9,12
132,1,9,false,5,7
132,1,10,true,5,8
132,1,13,true,8,10
132,1,17,false,8,11
132,1,19,false,8,11
132,1,20,false,11,13
132,2,11,true,5,8
132,2,17,false,8,12
130,0,10,false,6,7
130,0,17,true,8,11
130,1,13,false,4,8
130,1,15,true,6,10
130,2,20,false,9,12
128,0,15,true,6,11
128,0,17,false,9,12
128,0,19,false,10,13
128,2,9,true,2,6
128,2,13,false,7,10
128,2,15,true,6,10
128,2,17,true,8,12
128,2,17,true,9,12
128,2,19,false,10,13
127,0,10,true,3,6
126,0,9,false,5,7
126,1,9,true,2,6
126,1,13,false,7,9
126,1,17,true,6,10
126,1,20,false,8,12
126,1,20,false,9,12
126,2,11,false,3,7
126,2,11,false,6,8
126,2,15,true,9,9
126,2,17,false,9,11
126,2,19,true,9,11
126,2,20,true,10,13
124,0,11,false,7,7
124,0,20,false,9,12
124,0,20,true,9,12
124,1,11,false,7,7
124,1,19,false,9,13
124,1,19,true,9,12
124,2,10,false,6,7
124,2,13,false,8,10
124,2,13,true,4,8
124,2,13,true,7,10
124,2,15,true,8,11
124,2,17,false,6,10
123,2,20,false,9,13
122,0,9,true,2,6
122,0,13,true,7,9
122,0,17,false,8,11
122,1,11,true,3,7
122,1,15,true,5,9
122,1,15,true,8,10
122,2,10,false,3,7
122,2,10,true,6,7
122,2,13,true,6,9
122,2,17,true,8,11
122,2,20,true,8,12
122,2,20,true,9,12
120,0,11,false,4,8
120,0,15,true,6,10
120,0,17,true,9,11
120,0,19,false,10,12
120,0,19,true,9,13
120,0,20,false,11,14
120,0,20,true,9,13
120,1,13,false,6,9
120,1,13,false,6,10
120,1,13,true,6,10
120,1,17,true,8,11
120,1,19,false,8,13
120,1,19,false,11,13
120,1,19,true,8,13
120,1,20,false,9,13
120,2,11,true,7,7
120,2,11,true,7,9
120,2,15,false,9,11
120,2,17,true,7,11
120,2,17,true,9,11
120,2,19,true,10,11
120,2,20,false,11,13
119,2,10,true,3,6
118,0,10,false,3,7
118,1,9,false,2,6
118,1,11,false,3,7
118,1,11,false,5,8
118,1,11,true,7,7
118,1,13,true,6,9
118,1,15,false,5,9
118,1,15,false,7,10
118,1,19,false,8,12
118,1,20,false,10,12
118,2,10,true,3,7
118,2,19,false,10,11
117,1,10,true,6,8
117,2,10,false,3,6
117,2,10,false,5,6
117,2,10,false,6,8
116,0,13,false,6,10
116,0,13,true,8,10
116,0,15,true,9,9
116,0,19,true,11,13
116,1,10,true,3,7
116,1,13,false,7,10
116,1,15,false,8,11
116,1,20,true,10,12
116,2,19,false,11,13
116,2,19,true,8,13
114,0,15,false,6,10
114,0,15,false,7,10
114,0,19,false,11,11
114,0,20,true,11,13
114,1,17,false,7,11
114,1,20,true,10,13
112,0,9,false,2,6
112,0,13,false,4,8
112,0,15,false,5,9
112,0,19,false,7,11
112,0,19,true,10,12
112,1,13,false,8,11
112,1,13,true,7,9
112,1,19,false,9,12
112,1,19,true,7,11
112,2,15,false,8,10
112,2,19,false,10,12
112,2,20,false,8,12
112,2,20,false,10,12
111,1,10,false,3,6
111,1,10,true,3,6
110,0,15,false,8,9
110,0,15,true,8,10
110,0,17,true,6,10
110,1,10,false,6,7
110,1,15,true,9,9
110,1,17,false,9,11
110,1,19,false,7,11
110,1,20,true,11,12
110,2,7,false,5,6
110,2,11,false,5,8
110,2,15,true,8,10
110,2,17,true,6,10
108,0,11,false,7,9
108,0,15,true,5,9
108,0,20,false,9,13
108,0,20,true,11,14
108,1,10,true,7,9
108,1,13,false,8,8
108,1,15,false,9,11
108,1,17,true,10,10
108,1,19,true,11,13
108,2,15,false,6,10
108,2,17,false,8,11
108,2,19,true,11,13
106,0,7,false,5,5
106,0,11,true,4,8
106,0,11,true,7,7
106,0,20,true,8,12
106,1,11,true,5,8
106,1,17,true,7,11
106,2,13,false,8,8
106,2,19,false,9,12
105,0,20,true,9,11
105,2,20,false,10,11
104,0,10,false,7,9
104,0,13,false,7,10
104,0,15,false,7,11
104,0,17,false,7,12
104,0,17,false,10,12
104,0,19,false,8,13
104,0,19,true,7,11
104,1,7,true,6,7
104,1,9,false,6,7
104,1,17,true,10,12
104,1,19,false,10,13
104,1,20,false,11,12
104,2,15,false,9,9
104,2,19,true,9,13
104,2,20,false,11,12
104,2,20,false,11,14
103,1,20,true,9,11
102,0,17,false,9,11
102,1,19,true,10,12
102,2,13,false,4,8
102,2,19,false,11,11
102,2,20,true,8,13
100,0,15,true,7,10
100,0,19,false,10,14
100,0,19,true,8,12
100,1,15,false,9,9
100,1,15,true,7,11
100,1,19,true,11,11
100,2,15,false,7,11
100,2,17,false,9,12
100,2,17,false,10,12
100,2,19,false,8,12
100,2,19,false,10,14
100,2,20,false,10,14
99,0,10,false,3,6
99,1,20,false,8,13
99,1,20,false,10,11
99,1,20,true,9,13
98,0,7,false,5,6
98,0,13,true,8,9
98,0,20,true,8,11
98,1,7,true,5,6
98,1,9,true,6,6
98,2,7,true,5,5
98,2,15,false,7,10
98,2,17,false,7,11
98,2,20,true,11,12
96,0,10,false,6,8
96,0,13,false,8,9
96,1,13,true,7,10
96,1,15,true,9,11
96,1,17,false,10,12
96,1,17,true,10,11
96,1,19,true,9,13
96,2,10,false,6,6
96,2,10,false,7,9
96,2,17,true,10,12
96,2,19,false,8,13
96,2,19,true,11,12
96,2,20,true,11,13
95,1,10,true,6,6
94,0,11,false,7,8
94,0,13,true,8,8
94,0,15,false,9,9
94,0,19,false,8,12
94,1,17,false,10,10
94,2,20,true,7,12
93,0,20,false,8,13
92,0,7,false,6,7
92,0,9,true,6,7
92,0,11,true,7,9
