Experiment,Id,Run,Qubits,Layers,Layer,Spin,Phase,FlagPattern,OnesCount,CorrelatedPairs,V,alpha,delta,Vn,alphaN,deltaN 
Wormholes,1,61,5,1,1,True,0,..XXX,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,62,5,1,1,True,0,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,63,5,1,1,True,0,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,64,5,1,1,True,0,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,65,5,1,1,True,0,XXXXX,5,4,5,2.5,2.5,1,0.5,0.5
Wormholes,1,66,5,1,1,True,0,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,67,5,1,1,True,0,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,68,5,1,1,True,0,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,69,5,1,1,True,0,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,70,5,1,1,True,0,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,71,5,1,1,True,0,XXXXX,5,4,5,2.5,2.5,1,0.5,0.5
Wormholes,1,72,5,1,1,True,0,XXXXX,5,4,5,2.5,2.5,1,0.5,0.5
Wormholes,1,73,5,1,1,True,0,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,74,5,1,1,True,0,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,75,5,1,1,True,0,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,76,5,1,1,True,0,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,77,5,1,1,True,0,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,78,5,1,1,True,0,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,79,5,1,1,True,0,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,80,5,1,1,True,0,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,81,5,1,1,True,0,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,82,5,1,1,True,0,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,83,5,1,1,True,0,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
